Iterations,Accuracy (%),ATK,AGG,Momentum,seed,Bucketing
30,8.934294871794872,BF,KRUM,0.0,0,0
60,12.59014423076923,BF,KRUM,0.0,0,0
90,11.368189102564102,BF,KRUM,0.0,0,0
120,17.848557692307693,BF,KRUM,0.0,0,0
150,12.620192307692308,BF,KRUM,0.0,0,0
180,18.439503205128204,BF,KRUM,0.0,0,0
210,16.215945512820515,BF,KRUM,0.0,0,0
240,15.444711538461538,BF,KRUM,0.0,0,0
270,14.873798076923077,BF,KRUM,0.0,0,0
300,14.503205128205128,BF,KRUM,0.0,0,0
330,30.298477564102566,BF,KRUM,0.0,0,0
360,29.637419871794872,BF,KRUM,0.0,0,0
390,26.592548076923077,BF,KRUM,0.0,0,0
420,25.330528846153847,BF,KRUM,0.0,0,0
450,28.10496794871795,BF,KRUM,0.0,0,0
480,33.81410256410256,BF,KRUM,0.0,0,0
510,30.568910256410255,BF,KRUM,0.0,0,0
540,35.91746794871795,BF,KRUM,0.0,0,0
570,31.80088141025641,BF,KRUM,0.0,0,0
600,29.627403846153847,BF,KRUM,0.0,0,0
30,2.684294871794872,LF,KRUM,0.0,0,0
60,2.233573717948718,LF,KRUM,0.0,0,0
90,2.003205128205128,LF,KRUM,0.0,0,0
120,1.7127403846153846,LF,KRUM,0.0,0,0
150,1.4623397435897436,LF,KRUM,0.0,0,0
180,1.422275641025641,LF,KRUM,0.0,0,0
210,1.4923878205128205,LF,KRUM,0.0,0,0
240,1.5925480769230769,LF,KRUM,0.0,0,0
270,1.3721955128205128,LF,KRUM,0.0,0,0
300,1.0817307692307692,LF,KRUM,0.0,0,0
330,1.2319711538461537,LF,KRUM,0.0,0,0
360,1.0216346153846154,LF,KRUM,0.0,0,0
390,1.1318108974358974,LF,KRUM,0.0,0,0
420,1.482371794871795,LF,KRUM,0.0,0,0
450,1.0717147435897436,LF,KRUM,0.0,0,0
480,0.9114583333333334,LF,KRUM,0.0,0,0
510,0.9515224358974359,LF,KRUM,0.0,0,0
540,1.091746794871795,LF,KRUM,0.0,0,0
570,0.9715544871794872,LF,KRUM,0.0,0,0
600,0.8713942307692307,LF,KRUM,0.0,0,0
30,15.544871794871796,mimic,KRUM,0.0,0,0
60,29.817708333333332,mimic,KRUM,0.0,0,0
90,30.128205128205128,mimic,KRUM,0.0,0,0
120,29.517227564102566,mimic,KRUM,0.0,0,0
150,29.79767628205128,mimic,KRUM,0.0,0,0
180,30.348557692307693,mimic,KRUM,0.0,0,0
210,30.809294871794872,mimic,KRUM,0.0,0,0
240,29.91786858974359,mimic,KRUM,0.0,0,0
270,31.92107371794872,mimic,KRUM,0.0,0,0
300,30.18830128205128,mimic,KRUM,0.0,0,0
330,29.31690705128205,mimic,KRUM,0.0,0,0
360,30.388621794871796,mimic,KRUM,0.0,0,0
390,30.518830128205128,mimic,KRUM,0.0,0,0
420,30.608974358974358,mimic,KRUM,0.0,0,0
450,30.09815705128205,mimic,KRUM,0.0,0,0
480,30.849358974358974,mimic,KRUM,0.0,0,0
510,30.889423076923077,mimic,KRUM,0.0,0,0
540,30.87940705128205,mimic,KRUM,0.0,0,0
570,30.729166666666668,mimic,KRUM,0.0,0,0
600,30.889423076923077,mimic,KRUM,0.0,0,0
30,2.18349358974359,IPM,KRUM,0.0,0,0
60,1.5625,IPM,KRUM,0.0,0,0
90,1.7728365384615385,IPM,KRUM,0.0,0,0
120,2.313701923076923,IPM,KRUM,0.0,0,0
150,3.655849358974359,IPM,KRUM,0.0,0,0
180,8.393429487179487,IPM,KRUM,0.0,0,0
210,10.116185897435898,IPM,KRUM,0.0,0,0
240,13.591746794871796,IPM,KRUM,0.0,0,0
270,15.46474358974359,IPM,KRUM,0.0,0,0
300,10.336538461538462,IPM,KRUM,0.0,0,0
330,27.55408653846154,IPM,KRUM,0.0,0,0
360,42.12740384615385,IPM,KRUM,0.0,0,0
390,33.703926282051285,IPM,KRUM,0.0,0,0
420,26.302083333333332,IPM,KRUM,0.0,0,0
450,35.827323717948715,IPM,KRUM,0.0,0,0
480,34.294871794871796,IPM,KRUM,0.0,0,0
510,36.05769230769231,IPM,KRUM,0.0,0,0
540,34.44511217948718,IPM,KRUM,0.0,0,0
570,35.03605769230769,IPM,KRUM,0.0,0,0
600,34.01442307692308,IPM,KRUM,0.0,0,0
30,68.34935897435898,ALIE,KRUM,0.0,0,0
60,82.33173076923077,ALIE,KRUM,0.0,0,0
90,85.8974358974359,ALIE,KRUM,0.0,0,0
120,87.51001602564102,ALIE,KRUM,0.0,0,0
150,83.77403846153847,ALIE,KRUM,0.0,0,0
180,63.391426282051285,ALIE,KRUM,0.0,0,0
210,64.46314102564102,ALIE,KRUM,0.0,0,0
240,60.807291666666664,ALIE,KRUM,0.0,0,0
270,81.49038461538461,ALIE,KRUM,0.0,0,0
300,68.13902243589743,ALIE,KRUM,0.0,0,0
330,68.49959935897436,ALIE,KRUM,0.0,0,0
360,62.44991987179487,ALIE,KRUM,0.0,0,0
390,81.43028846153847,ALIE,KRUM,0.0,0,0
420,76.70272435897436,ALIE,KRUM,0.0,0,0
450,68.25921474358974,ALIE,KRUM,0.0,0,0
480,84.18469551282051,ALIE,KRUM,0.0,0,0
510,71.0136217948718,ALIE,KRUM,0.0,0,0
540,70.25240384615384,ALIE,KRUM,0.0,0,0
570,66.73677884615384,ALIE,KRUM,0.0,0,0
600,81.78084935897436,ALIE,KRUM,0.0,0,0
30,9.835737179487179,BF,KRUM,0.9,0,0
60,10.116185897435898,BF,KRUM,0.9,0,0
90,10.116185897435898,BF,KRUM,0.9,0,0
120,10.116185897435898,BF,KRUM,0.9,0,0
150,10.116185897435898,BF,KRUM,0.9,0,0
180,10.116185897435898,BF,KRUM,0.9,0,0
210,10.116185897435898,BF,KRUM,0.9,0,0
240,10.116185897435898,BF,KRUM,0.9,0,0
270,10.116185897435898,BF,KRUM,0.9,0,0
300,10.116185897435898,BF,KRUM,0.9,0,0
330,10.116185897435898,BF,KRUM,0.9,0,0
360,10.116185897435898,BF,KRUM,0.9,0,0
390,10.116185897435898,BF,KRUM,0.9,0,0
420,10.116185897435898,BF,KRUM,0.9,0,0
450,10.116185897435898,BF,KRUM,0.9,0,0
480,10.116185897435898,BF,KRUM,0.9,0,0
510,10.116185897435898,BF,KRUM,0.9,0,0
540,10.116185897435898,BF,KRUM,0.9,0,0
570,10.116185897435898,BF,KRUM,0.9,0,0
600,10.116185897435898,BF,KRUM,0.9,0,0
30,3.7259615384615383,LF,KRUM,0.9,0,0
60,2.483974358974359,LF,KRUM,0.9,0,0
90,1.7528044871794872,LF,KRUM,0.9,0,0
120,1.7928685897435896,LF,KRUM,0.9,0,0
150,1.3321314102564104,LF,KRUM,0.9,0,0
180,1.5725160256410255,LF,KRUM,0.9,0,0
210,1.7928685897435896,LF,KRUM,0.9,0,0
240,1.4723557692307692,LF,KRUM,0.9,0,0
270,1.3221153846153846,LF,KRUM,0.9,0,0
300,1.2219551282051282,LF,KRUM,0.9,0,0
330,1.171875,LF,KRUM,0.9,0,0
360,1.4122596153846154,LF,KRUM,0.9,0,0
390,1.0717147435897436,LF,KRUM,0.9,0,0
420,1.2820512820512822,LF,KRUM,0.9,0,0
450,0.8012820512820513,LF,KRUM,0.9,0,0
480,1.0416666666666667,LF,KRUM,0.9,0,0
510,1.1318108974358974,LF,KRUM,0.9,0,0
540,1.0116185897435896,LF,KRUM,0.9,0,0
570,0.9515224358974359,LF,KRUM,0.9,0,0
600,1.2219551282051282,LF,KRUM,0.9,0,0
30,10.126201923076923,mimic,KRUM,0.9,0,0
60,9.224759615384615,mimic,KRUM,0.9,0,0
90,14.893830128205128,mimic,KRUM,0.9,0,0
120,17.39783653846154,mimic,KRUM,0.9,0,0
150,26.091746794871796,mimic,KRUM,0.9,0,0
180,16.947115384615383,mimic,KRUM,0.9,0,0
210,11.107772435897436,mimic,KRUM,0.9,0,0
240,11.828926282051283,mimic,KRUM,0.9,0,0
270,9.785657051282051,mimic,KRUM,0.9,0,0
300,21.294070512820515,mimic,KRUM,0.9,0,0
330,20.79326923076923,mimic,KRUM,0.9,0,0
360,22.095352564102566,mimic,KRUM,0.9,0,0
390,13.000801282051283,mimic,KRUM,0.9,0,0
420,15.454727564102564,mimic,KRUM,0.9,0,0
450,9.965945512820513,mimic,KRUM,0.9,0,0
480,13.611778846153847,mimic,KRUM,0.9,0,0
510,9.755608974358974,mimic,KRUM,0.9,0,0
540,16.626602564102566,mimic,KRUM,0.9,0,0
570,18.24919871794872,mimic,KRUM,0.9,0,0
600,41.77684294871795,mimic,KRUM,0.9,0,0
30,1.953125,IPM,KRUM,0.9,0,0
60,10.29647435897436,IPM,KRUM,0.9,0,0
90,9.815705128205128,IPM,KRUM,0.9,0,0
120,9.815705128205128,IPM,KRUM,0.9,0,0
150,9.815705128205128,IPM,KRUM,0.9,0,0
180,9.815705128205128,IPM,KRUM,0.9,0,0
210,9.815705128205128,IPM,KRUM,0.9,0,0
240,9.815705128205128,IPM,KRUM,0.9,0,0
270,9.815705128205128,IPM,KRUM,0.9,0,0
300,9.815705128205128,IPM,KRUM,0.9,0,0
330,9.815705128205128,IPM,KRUM,0.9,0,0
360,9.815705128205128,IPM,KRUM,0.9,0,0
390,9.815705128205128,IPM,KRUM,0.9,0,0
420,9.815705128205128,IPM,KRUM,0.9,0,0
450,9.815705128205128,IPM,KRUM,0.9,0,0
480,9.815705128205128,IPM,KRUM,0.9,0,0
510,9.815705128205128,IPM,KRUM,0.9,0,0
540,9.815705128205128,IPM,KRUM,0.9,0,0
570,9.815705128205128,IPM,KRUM,0.9,0,0
600,9.815705128205128,IPM,KRUM,0.9,0,0
30,86.95913461538461,ALIE,KRUM,0.9,0,0
60,17.1875,ALIE,KRUM,0.9,0,0
90,60.96754807692308,ALIE,KRUM,0.9,0,0
120,10.336538461538462,ALIE,KRUM,0.9,0,0
150,10.336538461538462,ALIE,KRUM,0.9,0,0
180,10.29647435897436,ALIE,KRUM,0.9,0,0
210,10.29647435897436,ALIE,KRUM,0.9,0,0
240,11.368189102564102,ALIE,KRUM,0.9,0,0
270,11.368189102564102,ALIE,KRUM,0.9,0,0
300,11.368189102564102,ALIE,KRUM,0.9,0,0
330,11.368189102564102,ALIE,KRUM,0.9,0,0
360,11.368189102564102,ALIE,KRUM,0.9,0,0
390,11.368189102564102,ALIE,KRUM,0.9,0,0
420,11.368189102564102,ALIE,KRUM,0.9,0,0
450,11.368189102564102,ALIE,KRUM,0.9,0,0
480,11.368189102564102,ALIE,KRUM,0.9,0,0
510,11.368189102564102,ALIE,KRUM,0.9,0,0
540,11.368189102564102,ALIE,KRUM,0.9,0,0
570,11.368189102564102,ALIE,KRUM,0.9,0,0
600,11.368189102564102,ALIE,KRUM,0.9,0,0
30,10.116185897435898,BF,KRUM,0.0,0,2
60,15.995592948717949,BF,KRUM,0.0,0,2
90,30.78926282051282,BF,KRUM,0.0,0,2
120,30.518830128205128,BF,KRUM,0.0,0,2
150,34.71554487179487,BF,KRUM,0.0,0,2
180,36.02764423076923,BF,KRUM,0.0,0,2
210,43.44951923076923,BF,KRUM,0.0,0,2
240,40.14423076923077,BF,KRUM,0.0,0,2
270,48.38741987179487,BF,KRUM,0.0,0,2
300,49.00841346153846,BF,KRUM,0.0,0,2
330,48.81810897435897,BF,KRUM,0.0,0,2
360,48.87820512820513,BF,KRUM,0.0,0,2
390,48.908253205128204,BF,KRUM,0.0,0,2
420,49.2588141025641,BF,KRUM,0.0,0,2
450,49.22876602564103,BF,KRUM,0.0,0,2
480,44.75160256410256,BF,KRUM,0.0,0,2
510,44.70152243589744,BF,KRUM,0.0,0,2
540,39.743589743589745,BF,KRUM,0.0,0,2
570,37.56009615384615,BF,KRUM,0.0,0,2
600,28.846153846153847,BF,KRUM,0.0,0,2
30,15.835336538461538,LF,KRUM,0.0,0,2
60,23.25721153846154,LF,KRUM,0.0,0,2
90,13.241185897435898,LF,KRUM,0.0,0,2
120,11.308092948717949,LF,KRUM,0.0,0,2
150,9.975961538461538,LF,KRUM,0.0,0,2
180,13.451522435897436,LF,KRUM,0.0,0,2
210,17.48798076923077,LF,KRUM,0.0,0,2
240,12.530048076923077,LF,KRUM,0.0,0,2
270,16.58653846153846,LF,KRUM,0.0,0,2
300,27.003205128205128,LF,KRUM,0.0,0,2
330,26.161858974358974,LF,KRUM,0.0,0,2
360,10.226362179487179,LF,KRUM,0.0,0,2
390,23.02684294871795,LF,KRUM,0.0,0,2
420,21.76482371794872,LF,KRUM,0.0,0,2
450,23.75801282051282,LF,KRUM,0.0,0,2
480,9.955929487179487,LF,KRUM,0.0,0,2
510,25.520833333333332,LF,KRUM,0.0,0,2
540,15.204326923076923,LF,KRUM,0.0,0,2
570,34.49519230769231,LF,KRUM,0.0,0,2
600,23.677884615384617,LF,KRUM,0.0,0,2
30,23.02684294871795,mimic,KRUM,0.0,0,2
60,40.16426282051282,mimic,KRUM,0.0,0,2
90,45.09214743589744,mimic,KRUM,0.0,0,2
120,47.526041666666664,mimic,KRUM,0.0,0,2
150,47.50600961538461,mimic,KRUM,0.0,0,2
180,47.766426282051285,mimic,KRUM,0.0,0,2
210,47.67628205128205,mimic,KRUM,0.0,0,2
240,48.928285256410255,mimic,KRUM,0.0,0,2
270,49.19871794871795,mimic,KRUM,0.0,0,2
300,48.958333333333336,mimic,KRUM,0.0,0,2
330,49.21875,mimic,KRUM,0.0,0,2
360,48.28725961538461,mimic,KRUM,0.0,0,2
390,48.94831730769231,mimic,KRUM,0.0,0,2
420,52.09334935897436,mimic,KRUM,0.0,0,2
450,49.85977564102564,mimic,KRUM,0.0,0,2
480,49.1786858974359,mimic,KRUM,0.0,0,2
510,55.358573717948715,mimic,KRUM,0.0,0,2
540,50.861378205128204,mimic,KRUM,0.0,0,2
570,51.70272435897436,mimic,KRUM,0.0,0,2
600,54.186698717948715,mimic,KRUM,0.0,0,2
30,10.837339743589743,IPM,KRUM,0.0,0,2
60,21.424278846153847,IPM,KRUM,0.0,0,2
90,16.937099358974358,IPM,KRUM,0.0,0,2
120,20.112179487179485,IPM,KRUM,0.0,0,2
150,23.54767628205128,IPM,KRUM,0.0,0,2
180,36.23798076923077,IPM,KRUM,0.0,0,2
210,45.51282051282051,IPM,KRUM,0.0,0,2
240,46.02363782051282,IPM,KRUM,0.0,0,2
270,52.61418269230769,IPM,KRUM,0.0,0,2
300,51.36217948717949,IPM,KRUM,0.0,0,2
330,50.66105769230769,IPM,KRUM,0.0,0,2
360,50.56089743589744,IPM,KRUM,0.0,0,2
390,53.48557692307692,IPM,KRUM,0.0,0,2
420,54.397035256410255,IPM,KRUM,0.0,0,2
450,53.11498397435897,IPM,KRUM,0.0,0,2
480,54.797676282051285,IPM,KRUM,0.0,0,2
