Iterations,Accuracy (%),$\beta$,seed,f
30,61.95913461538461,0.0,0,1
60,81.00961538461539,0.0,0,1
90,86.02764423076923,0.0,0,1
120,87.890625,0.0,0,1
150,89.38301282051282,0.0,0,1
180,89.79366987179488,0.0,0,1
210,90.42467948717949,0.0,0,1
240,91.1358173076923,0.0,0,1
270,91.22596153846153,0.0,0,1
300,91.65665064102564,0.0,0,1
330,91.85697115384616,0.0,0,1
360,92.15745192307692,0.0,0,1
390,92.52804487179488,0.0,0,1
420,92.54807692307692,0.0,0,1
450,92.93870192307692,0.0,0,1
480,93.2792467948718,0.0,0,1
510,93.24919871794872,0.0,0,1
540,93.34935897435898,0.0,0,1
570,93.7900641025641,0.0,0,1
600,93.78004807692308,0.0,0,1
30,87.88060897435898,0.9,0,1
60,92.4979967948718,0.9,0,1
90,94.0204326923077,0.9,0,1
120,94.70152243589743,0.9,0,1
150,95.67307692307692,0.9,0,1
180,96.15384615384616,0.9,0,1
210,96.42427884615384,0.9,0,1
240,96.59455128205128,0.9,0,1
270,97.01522435897436,0.9,0,1
300,97.24559294871794,0.9,0,1
330,97.33573717948718,0.9,0,1
360,97.49599358974359,0.9,0,1
390,97.68629807692308,0.9,0,1
420,97.78645833333333,0.9,0,1
450,97.85657051282051,0.9,0,1
480,97.93669871794872,0.9,0,1
510,98.02684294871794,0.9,0,1
540,98.0869391025641,0.9,0,1
570,98.14703525641026,0.9,0,1
600,98.24719551282051,0.9,0,1
30,59.274839743589745,0.0,0,6
60,78.22516025641026,0.0,0,6
90,84.7255608974359,0.0,0,6
120,87.34975961538461,0.0,0,6
150,88.65184294871794,0.0,0,6
180,89.5332532051282,0.0,0,6
210,90.32451923076923,0.0,0,6
240,90.48477564102564,0.0,0,6
270,90.99559294871794,0.0,0,6
300,91.22596153846153,0.0,0,6
330,91.54647435897436,0.0,0,6
360,91.92708333333333,0.0,0,6
390,92.1875,0.0,0,6
420,92.51802884615384,0.0,0,6
450,92.54807692307692,0.0,0,6
480,92.80849358974359,0.0,0,6
510,92.77844551282051,0.0,0,6
540,93.10897435897436,0.0,0,6
570,93.28926282051282,0.0,0,6
600,93.56971153846153,0.0,0,6
30,87.109375,0.9,0,6
60,91.56650641025641,0.9,0,6
90,93.57972756410257,0.9,0,6
120,94.44110576923077,0.9,0,6
150,95.16225961538461,0.9,0,6
180,95.60296474358974,0.9,0,6
210,95.99358974358974,0.9,0,6
240,96.45432692307692,0.9,0,6
270,96.76482371794872,0.9,0,6
300,96.9551282051282,0.9,0,6
330,97.15544871794872,0.9,0,6
360,97.29567307692308,0.9,0,6
390,97.58613782051282,0.9,0,6
420,97.60616987179488,0.9,0,6
450,97.56610576923077,0.9,0,6
480,97.7363782051282,0.9,0,6
510,97.87660256410257,0.9,0,6
540,97.98677884615384,0.9,0,6
570,98.13701923076923,0.9,0,6
600,98.06690705128206,0.9,0,6
30,56.22996794871795,0.0,0,12
60,74.46915064102564,0.0,0,12
90,82.61217948717949,0.0,0,12
120,86.328125,0.0,0,12
150,87.98076923076923,0.0,0,12
180,88.73197115384616,0.0,0,12
210,89.54326923076923,0.0,0,12
240,89.95392628205128,0.0,0,12
270,90.5448717948718,0.0,0,12
300,90.80528846153847,0.0,0,12
330,91.03565705128206,0.0,0,12
360,91.20592948717949,0.0,0,12
390,91.6766826923077,0.0,0,12
420,92.01722756410257,0.0,0,12
450,92.07732371794872,0.0,0,12
480,92.16746794871794,0.0,0,12
510,92.36778846153847,0.0,0,12
540,92.64823717948718,0.0,0,12
570,92.95873397435898,0.0,0,12
600,92.82852564102564,0.0,0,12
30,83.53365384615384,0.9,0,12
60,91.54647435897436,0.9,0,12
90,92.98878205128206,0.9,0,12
120,94.17067307692308,0.9,0,12
150,94.52123397435898,0.9,0,12
180,95.1923076923077,0.9,0,12
210,95.84334935897436,0.9,0,12
240,96.2139423076923,0.9,0,12
270,96.45432692307692,0.9,0,12
300,96.73477564102564,0.9,0,12
330,96.90504807692308,0.9,0,12
360,97.17548076923077,0.9,0,12
390,97.265625,0.9,0,12
420,97.37580128205128,0.9,0,12
450,97.59615384615384,0.9,0,12
480,97.63621794871794,0.9,0,12
510,97.74639423076923,0.9,0,12
540,97.83653846153847,0.9,0,12
570,97.9266826923077,0.9,0,12
600,98.02684294871794,0.9,0,12
30,73.7880608974359,0.0,1,1
60,84.79567307692308,0.0,1,1
90,87.82051282051282,0.0,1,1
